epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,46459.2,1.09804,1.09046,1.29773,0.75587,0.60074,0.65532,0.4422,1.49664,1.35316,1.57845,0.00024359,0.00024359,0.00024359
71,47091,1.15024,1.14583,1.36879,0.71665,0.62052,0.64309,0.42263,1.50116,1.41076,1.55425,0.000222961,0.000222961,0.000222961
72,47719.3,1.14973,1.09225,1.33979,0.70282,0.65259,0.65458,0.43714,1.48856,1.4047,1.54416,0.000202332,0.000202332,0.000202332
73,48348.9,1.08644,1.02673,1.32707,0.71995,0.63006,0.65634,0.4409,1.50011,1.41448,1.55073,0.000181703,0.000181703,0.000181703
74,48988.7,1.09852,1.04852,1.33994,0.75683,0.60568,0.66229,0.4423,1.47087,1.35523,1.53048,0.000161074,0.000161074,0.000161074
75,49626.9,1.07227,0.99197,1.29523,0.78403,0.62031,0.68831,0.45609,1.45845,1.30321,1.53144,0.000140445,0.000140445,0.000140445
76,50256,1.07181,1.01387,1.30162,0.84186,0.59897,0.67717,0.45629,1.45566,1.31058,1.52133,0.000119816,0.000119816,0.000119816
77,50886,1.05956,1.00262,1.28633,0.76441,0.64345,0.68692,0.45902,1.43822,1.3035,1.5266,9.91865e-05,9.91865e-05,9.91865e-05
78,51516.6,1.0749,1.00405,1.29092,0.78644,0.62828,0.69573,0.46333,1.4767,1.30578,1.53519,7.85574e-05,7.85574e-05,7.85574e-05
79,52145.9,1.0386,0.9428,1.28604,0.6761,0.67569,0.69346,0.46529,1.4592,1.29551,1.52526,5.79283e-05,5.79283e-05,5.79283e-05
80,52781.2,1.01751,0.93321,1.26374,0.73648,0.6389,0.68166,0.45811,1.46672,1.31955,1.5335,3.72991e-05,3.72991e-05,3.72991e-05
